"Prairies","Ontario","Quebec","Atlantic","BC","Alberta","fDates"
982,5239,3196,947,1752,1366,"01-01-1995"
981,5233,3205,946,1737,1369,"31-01-1995"
984,5212,3191,954,1765,1380,"02-03-1995"
982,5222,3197,953,1762,1372,"02-04-1995"
981,5229,3202,952,1754,1368,"02-05-1995"
983,5225,3201,949,1759,1375,"02-06-1995"
983,5220,3194,951,1766,1371,"02-07-1995"
983,5216,3203,957,1775,1376,"01-08-1995"
983,5226,3208,960,1777,1374,"01-09-1995"
979,5249,3222,961,1771,1379,"01-10-1995"
973,5252,3207,956,1757,1378,"01-11-1995"
979,5258,3225,968,1766,1380,"01-12-1995"
974,5261,3253,958,1786,1389,"01-01-1996"
981,5292,3257,950,1784,1396,"31-01-1996"
985,5291,3238,941,1791,1410,"02-03-1996"
987,5299,3238,952,1800,1417,"01-04-1996"
986,5282,3243,952,1800,1407,"01-05-1996"
980,5278,3202,950,1798,1408,"01-06-1996"
983,5309,3167,951,1814,1420,"02-07-1996"
983,5360,3208,953,1803,1409,"01-08-1996"
988,5325,3199,945,1796,1413,"01-09-1996"
994,5352,3199,944,1818,1416,"01-10-1996"
990,5347,3193,943,1829,1426,"31-10-1996"
999,5335,3207,942,1840,1436,"01-12-1996"
